1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
RT	Area																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																						
1.722	3683953	1.722	3754919	1.691	2592344	1.715	3498643	1.704	2760701	1.694	2382097	1.689	2234823	1.712	3006634	1.663	1398395	1.661	1291221	1.7	2429163	1.683	1833449	1.686	1981569	1.665	1369367	1.649	965763	1.757	5108104	1.663	1350862	1.67	1334397	1.7	2173354	1.695	2008453	1.656	1073252	1.626	626176	1.674	1392550	1.664	1186011	1.671	1319952	1.663	1147798	1.693	1679471	1.621	543418	1.682	1452859	1.691	1725403	1.659	1025133	1.681	1373497	1.656	948478	1.644	796309	1.667	1123009	1.666	1021142	1.654	849380	1.644	777335	1.686	1443366	1.648	791215	1.662	992777	1.674	1211055	1.67	1067271	1.652	808771	1.659	903527	1.663	962084	1.684	1323644	1.669	1004365	1.682	1303136	1.664	942886	1.66	877337	1.64	597156	1.674	1070703	1.669	996864	1.691	1468874	1.688	1379562	1.65	732626	1.649	695028	1.657	736707	1.649	693589	1.651	717614	1.648	661912	1.64	570547	1.663	846111	1.649	691997	1.659	761601	1.647	607898	1.686	1156207	1.676	991674	1.676	973452	1.652	713672	1.62	397893	1.652	694711	1.653	669762	1.66	823497	1.683	1139666	1.654	717680	1.643	587070	1.666	790730	1.657	725375	1.658	706432	1.656	683279																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
1.942	120129	1.901	162211	1.876	117175	1.879	54482	1.883	38421	1.875	34166	1.879	33682	1.964	140013	1.881	49417	1.882	29327	1.881	46868	1.88	24833	3.914	101112	1.882	37476	3.636	831730	1.981	121681	1.88	66993	3.911	76126	1.892	10361	3.639	131686	3.637	390107	3.911	49442	1.883	42317	3.915	115642	1.884	47936	3.636	90939	3.918	142722	3.915	97934	3.64	157253	1.897	17306	3.64	45788	3.641	185459	3.639	79237	3.64	62577	3.642	436670	3.643	360715	3.644	47678	3.918	63585	3.643	110861	3.923	58718	3.642	74331	3.642	239577	3.641	74134	3.641	219056	3.645	140659	3.645	108411	3.644	191003	3.646	508992	3.645	151376	3.644	167188	3.643	123444	3.645	173459	3.645	501929	3.644	160957	3.646	74141	3.646	126055	3.646	147644	3.647	70542			4.458	124865	3.648	62112	3.648	144953	3.646	205125	3.646	59466	3.923	55467	3.653	67852	3.648	53742	3.649	224633	3.646	88302	3.651	80155	3.651	54739	3.65	123059	3.649	180328	3.649	84950	3.647	51631	3.648	89725	3.651	116768	3.651	74738	3.653	87013	3.652	71495	3.653	87958	3.652	345189																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
2.051	90368	2.079	172277	2.035	74730	3.633	172158	3.633	697485	3.636	168976	3.635	409703	3.633	4799237	3.636	134006	3.636	290503	3.64	91734	3.637	109133	4.429	860679	3.633	134447	3.91	838922	2.117	137281	3.638	160351	4.437	256190	3.638	222646	3.914	213735	3.913	458946			3.638	226554	4.432	201564	3.636	113636	3.911	220444	4.438	333790			3.913	306867	1.961	14365	3.917	80514	3.915	313227	3.916	141850	3.917	124760	3.918	596070	3.919	543417	3.919	51598	4.443	92094	3.924	118381	4.45	128343	3.919	106742	3.915	386952	3.917	190137	3.919	269303	3.918	219738	3.921	168145	3.92	371029	3.922	723864	3.921	279747	3.921	249871	3.92	220842	3.921	244379	3.922	404846	3.923	42018	3.926	95478	3.924	174131	3.923	185777	3.922	104664					3.924	74572	3.923	226941	3.924	213766	3.929	73651	4.457	112784	3.924	76584	3.928	94884	3.926	230792	3.927	128650	3.928	90899	3.923	64309	3.927	118542	3.925	235005	3.924	105516	3.927	98918	3.931	99100	3.928	159389	3.928	127474	3.93	99152	3.928	133701	3.929	130573	3.93	306333																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																				
3.635	372867	3.631	570143	3.633	1272107	3.909	227408	3.905	670293	3.913	183648	3.907	427960	3.908	4139463	3.91	171490	3.909	342639	3.914	154197	3.913	177924			3.91	213267	4.424	230714	3.634	523969	3.911	238798			3.915	431977	4.434	692801	4.404	202396			3.911	404999			3.912	242214	4.427	188490							3.64	532666									4.317	78961	4.444	247505	4.442	120000			4.45	327443			4.451	173864	4.437	176207	4.443	122377									4.157	67621	4.447	139753									4.459	169408	4.455	319117	4.455	207318	4.458	120535	4.458	209539							4.45	120590			4.458	204136					4.465	104300			4.463	122842	4.458	106609																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
3.91	511218	3.906	650159	3.906	1327188	4.421	578790	4.095	87473	4.42	461663	4.419	173392	4.106	270377	4.422	143825			4.43	774397	4.425	239307			4.424	132232			3.91	800293	4.13	99301			4.433	447222																					3.914	1021428																																			4.339	201945																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
4.42	799427	4.103	102104	4.101	180654			4.373	239866			6.231	47778	4.415	847706															4.148	96994	4.434	573846			6.253	60469																					4.136	99892																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
6.215	49565	4.413	481046	4.413	397053																									4.426	826893																											4.309	210693																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																												
		6.226	84797																											6.231	48407																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																																								
