date,bat,treatment,petridishweight,foodinitial,totalinitil,totalfinal,foodconsumed,percentagefoodeaten
07.14.2021,5,hn ,8.573,5.078,13.651,10.416,3.235,63.70618354
07.14.2021,6,ln,8.681,5.135,13.816,9.1,4.716,91.84031159
07.14.2021,6,hn ,8.754,4.929,13.683,9.033,4.65,94.33962264
07.14.2021,7,ln,8.581,5.005,13.586,13.595,-0.009,0
07.14.2021,7,hn ,8.578,5.068,13.646,10.183,3.463,68.33070245
07.14.2021,8,ln+lamides,6.551,5.099,11.65,9.422,2.228,43.69484213
07.14.2021,8,hn+hamides,8.745,5.135,13.88,10.493,3.387,65.95910419
07.14.2021,9,ln+lamides,6.843,5.182,12.025,11.981,0.044,0.8490930143
07.14.2021,9,hn+hamides,8.571,5.066,13.637,9.155,4.482,88.47216739
07.14.2021,10,ln+lamides,8.595,5.013,13.608,9.736,3.872,77.23917814
07.14.2021,10,hn+hamides,8.688,5.125,13.813,11.08,2.733,53.32682927
